,Кодировка,Балл ЕГЭ,Код ученика
112,mat_ege_max_w1_030918_8chekb,62.0,s67
113,phi_ege_max_w1_050918_41chekb,53.0,s67
114,his_opt_w2_281118_2mgnsk,60.0,s68
115,rus_ege_max_w1_090918_21chekb,78.0,s69
116,inf_ege_max_w1_090918_18vpspb,79.0,s70
117,rus_opt_on_w2_021218_kumsk,91.0,s70
118,rus_ege_max_w1_060918_3knn,59.0,s71
119,mat_ege_int_baza_120219_2knn,4.0,s71
120,lit_ege_max_w2_051018_39knn,62.0,s71
121,mat_ege_max_on_w2_031018_35Knn,56.0,s72
122,rus_ege_max_w2_041018_110kum,82.0,s73
123,mat_ege_max_w1_040918_44blm,56.0,s73
124,soc_ege_max_w2_071018_1irk,61.0,s74
125,eng_ege_max_w1_060918_6blm,51.0,s75
126,rus_ege_max_w1_011018_2volgd,65.0,s76
127,phi_ege_int_ctp_mini_on_180219_2web,53.0,s77
128,mat_ege_max_w1_040918_8mgnsk,70.0,s78
129,rus_ege_int_ctp_mini_on_070219_1web,69.0,s79
130,lit_ege_int_ctp_mini_on_120219_1web,69.0,s79
131,lit_opt_on_w2_261118_kumsk,57.0,s80
132,mat_ege_max_on_w1_040918_4kum,90.0,s81
133,soc_ege_max_w2_071018_31knn,56.0,s82
134,mat_ege_max_on_w2_071018_32kum,96.0,s83
135,inf_ege_max_w1_050918_15vpspb,91.0,s84
136,eng_ege_max_w2_071018_12aim,73.0,s85
137,soc_ege_max_w2_011018_4irk,84.0,s86
138,his_ege_max_w2_021018_irk,75.0,s86
139,soc_ege_int_w2_090219_7kumsk,27.0,s87
140,his_ege_max_w2_071018_34kum,82.0,s88
141,soc_ege_max_w1_070918_22mgnsk,51.0,s88
142,mat_ege_max_w1_060918_10mgnsk,62.0,s88
143,rus_ege_max_w1_030918_1mgnsk,87.0,s88
144,bio_ege_max_w2_041018_60mgnsk,47.0,s89
145,INF_EGE_MAX_W1_080918_26Okm,72.0,s90
146,soc_ege_max_w1_090918_84blm,69.0,s90
147,mat_ege_max_w1_040918_43kum,70.0,s90
148,rus_ege_opt_w1_281118_1volgd,91.0,s91
149,soc_ege_opt_w2_021218_1volgd,60.0,s91
150,lit_ege_opt_w1_291118_1volgd,71.0,s91
151,soc_opt_w2_291118_5chekb,64.0,s92
152,rus_ege_max_w1_040918_4mgnsk,78.0,s93
153,his_ege_max_w1_050918_45mgnsk,47.0,s93
154,soc_ege_max_w1_070918_22mgnsk,58.0,s93
155,his_ege_max_w1_050918_45mgnsk,55.0,s94
156,eng_ege_max_w1_090918_50mgnsk,82.0,s94
157,rus_ege_max_w1_030918_1mgnsk,73.0,s94
158,mat_ege_max_w1_090918_11mgnsk,68.0,s95
159,soc_ege_max_w1_070918_22mgnsk,76.0,s95
