,Кодировка,Балл ЕГЭ,Код ученика
1246,rus_opt_w2_261118_3mgnsk,66.0,s784
1247,inf_ege_max_w2_041018_49knn,72.0,s785
1248,rus_ege_max_w1_080918_4knn,72.0,s785
1249,mat_ege_max_w2_041018_76kum,94.0,s786
1250,phi_ege_int_on+class_w2_100219_2vld,68.0,s787
1251,rus_ege_int_w2_060219_12vld,73.0,s787
1252,mat_ege_opt_w2_021218_20vld,80.0,s787
1253,mat_ege_max_w2_011018_52kum,74.0,s788
1254,soc_ege_max_w1_040918_101blm,76.0,s789
1255,mat_ege_max_w1_040918_44blm,27.0,s789
1256,che_ege_int_w2_040219_1kumsk,45.0,s790
1257,his_ege_max_on_w1_050918_16kum,96.0,s791
1258,inf_ege_max_w1_040918_73chekb,88.0,s792
1259,mat_ege_max_w1_030918_1chekb,80.0,s792
1260,mat_int_on_w2_100219_1kumsk,50.0,s793
1261,inf_opt_on_w2_021218_knn,66.0,s794
1262,soc_ege_max_w1_040918_30chekb,60.0,s795
1263,soc_ege_max_w2_011018_37chekb,79.0,s796
1264,mat_ege_max_w1_060918_32vpspb,92.0,s797
1265,phi_ege_max_w2_021018_46chekb,42.0,s798
1266,mat_ege_max_w1_080918_6chekb,45.0,s798
1267,soc_ege_max_w1_060918_31chekb,60.0,s799
1268,mat_ege_max_w2_051018_18chekb,62.0,s799
1269,rus_ege_max_w1_050918_24chekb,66.0,s799
1270,lit_ege_max_w1_080918_38okm,73.0,s800
1271,eng_ege_max_w2_061018_10okm,82.0,s800
1272,chm_ege_opt_w2_251118_5surgt,43.0,s801
1273,rus_ege_int_w1_160119_8surgt,57.0,s801
1274,his_ege_max_w2_041018_23vpspb,56.0,s802
1275,soc_ege_int_w2_090219_5vspb,67.0,s802
1276,mat_ege_max_w1_080918_34vpspb,74.0,s803
1277,mat_ege_int_w1_190119_1chekb,68.0,s804
1278,rus_ege_max_w1_070918_22chekb,78.0,s804
1279,inf_int_on_w2_070219_1kumsk,77.0,s805
1280,phi_ege_max_on_w2_051018_36chekb,78.0,s806
1281,mat_ege_max_w1_040918_12knn,76.0,s807
1282,eng_ege_max_w2_041018_35knn,72.0,s807
1283,mat_ege_int_w2_070219_7airmsk,39.0,s808
1284,phi_ege_max_w2_041018_132kum,48.0,s809
1285,his_ege_max_w1_050918_45mgnsk,70.0,s810
1286,phi_ege_max_w1_030918_43chekb,47.0,s811
1287,eng_ege_max_w2_061018_6vpspb,80.0,s812
1288,phi_ege_sint_SRED_on_160319_1web,58.0,s813
1289,rus_ege_max_w1_050918_77mgnsk,66.0,s814
1290,his_int_on_w2_080219_1kumsk,43.0,s814
1291,eng_ege_max_w1_070918_49mgnsk,75.0,s814
1292,soc_ege_max_w2_071018_31knn,71.0,s815
1293,soc_opt_w2_261118_7aim,94.0,s816
1294,rus_ege_max_w1_030918_117kum,82.0,s817
1295,bio_ege_max_w1_090918_15kum,70.0,s817
1296,mat_ege_max_w1_040918_43kum,50.0,s817
1297,rus_ege_max_w1_090918_21chekb,94.0,s818
1298,rus_ege_int_w1_190119_10volgd,61.0,s819
1299,phi_ege_int_w2_010219_2volgd,47.0,s819
1300,mat_ege_opt_w2_101218_21volgd,56.0,s819
1301,rus_ege_max_w2_240918_1irk,72.0,s820
1302,bio_ege_max_w2_021018_irk,77.0,s820
1303,chm_ege_max_w2_071018_2irk,58.0,s820
1304,his_ege_max_on_w1_050918_16kum,79.0,s821
1305,phi_ege_max_w2_011018_131kum,39.0,s822
1306,rus_ege_max_on+class_w2_230918_1tula,63.0,s823
1307,mat_ege_max_w1_060918_9chekb,76.0,s824
1308,soc_ege_max_w1_070918_32chekb,76.0,s824
1309,che_ege_max_on+class_w2_220918_1tula,66.0,s825
1310,rus_int_on_w1_070219_1kumsk,89.0,s826
1311,his_ege_max_w1_090918_21vpspb,56.0,s826
1312,che_ege_max_w1_030918_106vpspb,63.0,s827
1313,rus_ege_max_w1_030918_78vpspb,89.0,s827
1314,mat_ege_max_w1_080918_34vpspb,90.0,s827
1315,bio_ege_max_on_w2_011018_50vpspb,63.0,s828
1316,his_ege_max_on_w1_050918_16kum,92.0,s829
1317,soc_ege_max_w1_030918_99okm,33.0,s830
1318,rus_ege_max_w1_030918_117kum,85.0,s831
1319,soc_ege_max_w1_080918_100blm,94.0,s832
1320,mat_ege_max_w1_060918_73blm,84.0,s832
1321,chm_ege_max_w2_071018_1irk,40.0,s833
1322,soc_opt_on_w2_271118_chekb,86.0,s834
1323,soc_ege_max_w1_040918_77kum,74.0,s835
1324,mat_ege_max_w1_080918_59kum,72.0,s835
1325,soc_ege_max_w2_041018_27mgnsk,70.0,s836
1326,mat_ege_max_w1_070918_13mgnsk,74.0,s836
1327,rus_ege_max_w2_031018_78mgnsk,73.0,s836
1328,mat_ege_max_w1_090918_51okm,72.0,s837
1329,mat_ege_max_w1_030918_49okm,70.0,s838
1330,che_ege_max_w1_030918_144okm,77.0,s838
1331,eng_ege_max_w1_070918_49mgnsk,76.0,s839
1332,mat_ege_sint_lvl2_SRED_220319_8oktmsk,78.0,s840
1333,soc_ege_on_personal_god_250918_22m,74.0,s841
1334,bio_ege_max_w1_040918_57mgnsk,73.0,s842
1335,mat_ege_max_w2_041018_5irk,4.0,s843
1336,rus_opt_on_w2_261118_mgnsk,66.0,s844
1337,rus_ege_int_w2_080219_3knn,91.0,s845
1338,phi_ege_max_w1_030918_19knn,68.0,s845
1339,mat_ege_max_w1_050918_9knn,78.0,s845
1340,lit_ege_max_w1_040918_26vpspb,70.0,s846
1341,che_ege_max_w2_011018_68chekb,49.0,s847
1342,his_ege_max_w1_090918_30kum,45.0,s848
1343,rus_ege_max_w1_050918_124blm,58.0,s848
1344,lit_ege_max_w1_080918_38okm,84.0,s849
1345,rus_opt_w2_021218_10vpspb,85.0,s850
1346,mat_opt_w1_021118_13vpspb,56.0,s850
1347,soc_opt_w2_021218_10vpspb,66.0,s850
1348,bio_ege_max_w1_040918_9vpspb,86.0,s851
1349,che_ege_max_w1_050918_108vpspb,60.0,s851
1350,rus_ege_opt_w2_011218_2krsn,55.0,s852
1351,mat_ege_opt_w2_301118_1krsn,50.0,s852
1352,eng_ege_max_w2_061018_6vpspb,92.0,s853
1353,mat_ege_max_w1_070918_33vpspb,74.0,s853
1354,bio_int_on_w2_040219_1kumsk,53.0,s854
1355,lit_ege_max_w1_040918_26vpspb,0.0,s855
1356,phi_ege_max_w1_050918_135kum,61.0,s856
1357,rus_ege_int_w1_190119_10volgd,82.0,s857
1358,his_ege_max_w2_031018_1volgd,72.0,s857
1359,mat_ege_max_w1_090918_35vpspb,70.0,s858
1360,soc_ege_max_w1_030918_58vpspb,72.0,s858
1361,rus_ege_max_on_w2_021018_30Knn,91.0,s858
1362,mat_ege_max_w2_021018_46kum,80.0,s859
1363,rus_ege_max_w2_031018_78mgnsk,71.0,s860
1364,che_ege_opt_w2_011218_2vpspb,39.0,s861
1365,soc_ege_max_w2_011018_102aim,65.0,s862
1366,phi_ege_max_w2_051018_102vpspb,74.0,s863
1367,rus_ege_max_w1_050918_24chekb,70.0,s864
1368,eng_ege_baza_max_w2_011018_7kum,55.0,s865
1369,mat_ege_sint_lvl2_SRED_170319_6chekb,45.0,s866
1370,mat_ege_max_w1_080918_61blm,62.0,s867
1371,soc_ege_max_w1_080918_100blm,62.0,s867
1372,soc_ege_int_ctp_mini_on_100219_2web,69.0,s868
1373,eng_ege_max_w2_061018_6vpspb,86.0,s869
1374,mat_ege_max_w2_021018_41vpspb,82.0,s869
1375,soc_ege_max_w2_011018_66vpspb,81.0,s869
1376,rus_ege_sint_lvl3_SLAB_240319_12oktmsk,82.0,s870
1377,lit_opt_on_w2_261118_kumsk,0.0,s871
1378,soc_ege_max_w1_050918_35chekb,89.0,s872
1379,lit_ege_max_w1_090918_62chekb,90.0,s872
1380,soc_ege_max_w1_060918_31chekb,72.0,s873
1381,rus_ege_max_w1_080918_23chekb,80.0,s873
1382,phi_ege_max_w2_071018_1volgd,68.0,s874
1383,inf_ege_max_w2_021018_1volgd,83.0,s874
1384,mat_ege_max_w2_061018_4volgd,74.0,s874
1385,bio_ege_max_w1_040918_57mgnsk,57.0,s875
1386,his_ege_max_w2_071018_1tlt,55.0,s876
1387,mat_ege_max_w1_090918_11mgnsk,45.0,s877
1388,rus_ege_max_w1_050918_77mgnsk,82.0,s877
1389,eng_ege_max_w1_070918_49mgnsk,56.0,s877
1390,mat_ege_sint_lvl2_SRED_220319_8oktmsk,74.0,s878
1391,eng_ege_int_ctp_mini_on_070219_1web,71.0,s879
1392,rus_ege_max_w2_240918_1irk,65.0,s880
1393,mat_ege_max_w2_031018_3irk,50.0,s880
1394,mat_ege_max_w2_071018_19mgnsk,72.0,s881
1395,mat_ege_max_w1_040918_43kum,76.0,s882
1396,his_ege_int_ctp_on_221218_1kumsk,60.0,s883
1397,soc_ege_max_on_w1_040918_10kum,70.0,s883
1398,his_ege_max_w2_021018_22vpspb,68.0,s884
1399,soc_ege_max_on_w1_040918_10kum,82.0,s885
1400,rus_ege_sint_SRED_on_170319_1web,87.0,s885
1401,soc_ege_max_w2_011018_4irk,72.0,s886
1402,his_ege_max_w2_021018_irk,68.0,s886
1403,soc_ege_int_w2_060219_11irk,64.0,s887
1404,soc_opt_w2_011218_1knn,62.0,s888
1405,rus_ege_max_w1_090918_21chekb,85.0,s889
1406,mat_ege_max_w1_080918_6chekb,82.0,s889
1407,eng_ege_max_w2_041018_35knn,74.0,s890
1408,rus_ege_max_w2_041018_surgt,80.0,s891
1409,mat_ege_max_w2_021018_surgt,68.0,s891
1410,soc_ege_max_w1_040918_101blm,96.0,s892
1411,phi_ege_max_w1_090918_22knn,60.0,s893
1412,his_ege_max_on_w1_050918_16kum,0.0,s894
1413,rus_ege_max_on_w2_021018_30Knn,80.0,s894
1414,phi_ege_max_w1_030918_43chekb,52.0,s895
1415,mat_ege_max_w1_050918_3chekb,70.0,s895
1416,rus_ege_max_w2_021018_26chekb,73.0,s895
1417,mat_ege_max_w1_040918_2chekb,80.0,s896
1418,soc_ege_int_w2_090219_7kumsk,80.0,s897
1419,phi_ege_int_on+class_w2_100219_1tula,88.0,s898
1420,mat_ege_max_w2_041018_3volgd,27.0,s899
1421,rus_ege_max_w2_021018_107kum,87.0,s900
1422,phi_ege_max_w2_051018_102vpspb,30.0,s901
1423,mat_ege_max_w1_090918_39vpspb,56.0,s902
1424,rus_ege_max_w2_051018_5mgnsk,69.0,s903
1425,soc_ege_max_w1_060918_31chekb,79.0,s904
1426,his_ege_max_w1_030918_49chekb,71.0,s904
1427,mat_ege_max_w2_021018_46kum,70.0,s905
1428,phi_ege_max_w2_011018_131kum,65.0,s905
1429,soc_ege_max_w2_071018_26mgnsk,55.0,s906
1430,rus_opt_w1_041118_2mgnsk,85.0,s907
1431,bio_ege_max_w2_071018_2irk,32.0,s908
1432,rus_ege_max_w2_260918_4irk,59.0,s908
1433,chm_ege_max_w2_071018_2irk,28.0,s908
1434,rus_ege_max_w1_090918_84vpspb,51.0,s909
1435,mat_ege_max_w1_050918_37vpspb,72.0,s909
1436,soc_ege_max_w2_071018_40chekb,86.0,s910
1437,rus_ege_max_w1_080918_23chekb,91.0,s910
1438,his_ege_max_w1_080918_51chekb,64.0,s910
1439,his_ege_max_w1_050918_45mgnsk,56.0,s911
1440,rus_ege_max_w1_090918_3mgnsk,55.0,s911
1441,soc_ege_max_w1_030918_21mgnsk,67.0,s911
1442,rus_ege_max_w1_090918_126blm,80.0,s912
1443,rus_ege_int_w2_070219_4vspb,94.0,s913
1444,soc_ege_opt_w2_261118_13vld,57.0,s914
1445,phi_ege_max_on_w1_050918_8kum,66.0,s915
1446,mat_int_on_w2_100219_1kumsk,80.0,s915
1447,inf_ege_max_w1_040918_25kum,53.0,s916
1448,rus_ege_max_w1_050918_124blm,78.0,s916
1449,lit_ege_max_w1_040918_26vpspb,70.0,s917
1450,soc_opt_w1_311018_6aim,45.0,s918
1451,soc_ege_max_w1_070918_82okm,60.0,s919
1452,eng_ege_max_w1_050918_1blm,63.0,s919
1453,rus_ege_max_w2_280918_2irk,85.0,s920
1454,his_ege_max_w1_090918_21vpspb,58.0,s921
1455,soc_ege_max_w1_040918_63vpspb,62.0,s921
1456,lit_ege_max_w1_070918_37kum,87.0,s922
1457,rus_ege_max_w1_070918_118kum,89.0,s922
1458,inf_ege_max_w2_041018_49knn,61.0,s923
1459,rus_ege_max_w1_040918_2knn,70.0,s923
1460,mat_ege_max_w1_050918_9knn,45.0,s923
1461,phi_ege_int_ctp_mini_on_150219_1web,64.0,s924
1462,mat_int_on_w2_100219_1kumsk,82.0,s925
1463,mat_ege_max_on_w2_031018_35Knn,82.0,s925
1464,mat_ege_max_w1_030918_36vpspb,70.0,s926
1465,phi_int_on_w2_060219_1kumsk,92.0,s927
1466,rus_opt_w2_261118_3mgnsk,96.0,s928
1467,mat_ege_max_w1_050918_12mgnsk,62.0,s929
1468,rus_ege_max_w1_030918_1mgnsk,73.0,s929
1469,his_ege_sint_ctp_SLAB_on_150319_3web,67.0,s930
1470,eng_ege_max_w1_090918_36knn,64.0,s931
1471,rus_ege_max_w1_030918_117kum,82.0,s932
1472,soc_ege_max_w1_040918_77kum,89.0,s932
1473,mat_ege_sint_lvl2_SRED_220319_8oktmsk,74.0,s932
1474,rus_ege_int_w2_080219_3knn,100.0,s933
1475,mat_ege_max_w2_071018_16knn,70.0,s933
1476,inf_ege_max_w1_050918_15vpspb,88.0,s934
1477,mat_ege_max_w1_040918_30vpspb,76.0,s934
1478,mat_ege_max_w1_030918_7mgnsk,27.0,s935
1479,soc_opt_on_w2_271118_chekb,69.0,s936
1480,eng_ege_max_w2_071018_12aim,81.0,s937
1481,rus_ege_max_w1_030918_120blm,94.0,s937
1482,che_int_on_w2_050219_1kumsk,52.0,s938
1483,mat_ege_max_w1_070918_33vpspb,68.0,s939
1484,his_ege_max_w1_080918_20vpspb,89.0,s939
1485,eng_ege_max_w1_090918_3vpspb,80.0,s939
1486,bio_ege_opt_w1_271118_1volgd,65.0,s940
1487,rus_ege_max_w2_051018_6knn,82.0,s941
1488,eng_ege_max_w2_041018_35knn,79.0,s941
1489,mat_ege_max_w2_041018_14knn,50.0,s941
1490,mat_ege_max_w1_030918_1chekb,74.0,s942
1491,soc_ege_max_w1_040918_30chekb,67.0,s942
1492,rus_ege_sint_SRED_on_170319_1web,87.0,s942
1493,eng_ege_max_w2_041018_35knn,61.0,s943
1494,his_ege_max_w1_040918_41knn,84.0,s943
1495,mat_ege_max_w2_021018_46kum,68.0,s944
1496,phi_ege_max_w2_011018_131kum,62.0,s944
1497,inf_ege_max_w1_040918_73chekb,48.0,s945
1498,mat_ege_max_w2_061018_15chekb,56.0,s945
1499,soc_opt_w2_021218_10vpspb,64.0,s946
1500,che_ege_max_w1_060918_143kum,92.0,s947
1501,mat_ege_max_w1_080918_59kum,96.0,s947
1502,rus_ege_max_w1_070918_118kum,98.0,s947
1503,inf_ege_max_w2_071018_1tlt,77.0,s948
1504,phi_ege_sint_SRED_on_160319_1web,49.0,s949
1505,mat_ege_max_w1_090918_51okm,5.0,s950
1506,his_opt_w2_311018_4aim,45.0,s951
1507,eng_opt_w2_301118_1knn,76.0,s952
1508,rus_opt_w2_261118_3mgnsk,71.0,s953
1509,chm_ege_opt_w2_251118_5surgt,41.0,s954
1510,rus_ege_max_w2_041018_surgt,69.0,s954
1511,mat_ege_max_w2_011018_surgt,56.0,s954
1512,rus_ege_max_w1_030918_1knn,87.0,s955
1513,phi_ege_max_w1_030918_19knn,44.0,s955
1514,mat_ege_max_w1_050918_9knn,68.0,s955
1515,soc_ege_max_w2_071018_31knn,81.0,s956
1516,mat_ege_max_w1_030918_8knn,72.0,s956
1517,mat_ege_max_w1_090918_11knn,50.0,s957
1518,lit_ege_max_w1_080918_38okm,80.0,s958
1519,mat_ege_max_w1_090918_39vpspb,90.0,s959
1520,his_opt_w2_311018_4aim,75.0,s960
1521,eng_ege_int_w2_060219_1kumsk,71.0,s961
1522,soc_ege_int_w1_200119_6airmsk,61.0,s961
1523,rus_ege_max_w2_021018_107kum,67.0,s961
1524,eng_ege_max_w2_061018_8kum,87.0,s962
1525,eng_int_on_w2_050219_1kumsk,83.0,s963
1526,mat_ege_max_on_w1_090918_6kum,72.0,s964
1527,soc_ege_max_w1_030918_29chekb,67.0,s965
1528,his_opt_w2_281118_2mgnsk,68.0,s966
1529,rus_opt_w2_261118_3mgnsk,73.0,s966
1530,mat_ege_max_w1_090918_51okm,62.0,s967
1531,rus_ege_int_w2_080219_3knn,56.0,s968
1532,soc_ege_max_w1_040918_26knn,23.0,s968
1533,mat_ege_max_w1_090918_11knn,17.0,s968
1534,eng_opt_w2_301118_1knn,93.0,s969
1535,his_ege_max_w2_071018_42knn,91.0,s969
1536,soc_opt_w2_011218_1knn,92.0,s969
1537,soc_ege_max_w1_070918_36chekb,64.0,s970
1538,mat_ege_max_w1_050918_10chekb,62.0,s970
1539,soc_opt_w1_311018_6aim,63.0,s971
1540,mat_ege_max_w1_030918_36vpspb,78.0,s972
1541,soc_ege_max_w1_040918_63vpspb,81.0,s972
1542,eng_ege_max_w1_050918_2vpspb,90.0,s972
1543,phi_opt_w2_011218_3chekb,60.0,s973
1544,mat_opt_w1_041118_4chekb,62.0,s973
1545,rus_ege_max_w1_080918_4knn,65.0,s974
1546,soc_ege_max_w1_030918_99okm,96.0,s975
1547,rus_ege_opt_w1_281118_1volgd,91.0,s976
1548,che_ege_opt_w1_291118_1volgd,67.0,s976
1549,bio_ege_opt_w1_271118_1volgd,73.0,s976
1550,mat_ege_max_w2_041018_5irk,33.0,s977
1551,rus_ege_opt_w2_011218_2irk,46.0,s977
1552,bio_ege_max_w2_071018_2irk,39.0,s977
1553,lit_opt_w2_261118_1aim,0.0,s978
1554,mat_ege_opt_w2_301118_1irk,76.0,s979
1555,rus_ege_opt_w2_011218_2irk,70.0,s979
1556,rus_ege_sint_lvl2_SRED_200319_5shpspb,82.0,s980
1557,soc_ege_int_w2_090219_7kumsk,91.0,s981
1558,lit_int_on_w2_050219_1kumsk,90.0,s982
1559,phi_ege_max_on_w1_050918_8kum,68.0,s983
1560,mat_ege_max_on_w1_090918_6kum,80.0,s983
1561,mat_ege_sint_lvl2_SRED_220319_8oktmsk,62.0,s984
1562,rus_ege_sint_lvl3_SLAB_240319_12oktmsk,76.0,s984
1563,rus_ege_max_w1_040918_4mgnsk,85.0,s985
1564,his_ege_max_w2_011018_47mgnsk,93.0,s985
1565,eng_ege_int_ctp_mini_on_150219_2web,79.0,s985
1566,rus_ege_int_w2_070219_4vspb,76.0,s986
1567,mat_ege_int_w2_040219_6vspb,50.0,s986
1568,mat_ege_max_w1_090918_39vpspb,76.0,s987
1569,mat_ege_int_w2_090219_4knn,74.0,s988
1570,soc_ege_int_w2_090219_7kumsk,79.0,s989
1571,soc_ege_max_w2_011018_37chekb,66.0,s990
1572,his_ege_max_w2_031018_54chekb,40.0,s990
1573,phi_ege_max_on_w1_060918_9vpspb,0.0,s991
1574,rus_ege_max_w1_050918_124blm,76.0,s992
1575,mat_ege_max_w1_070918_55kum,56.0,s992
1576,phi_ege_max_w1_030918_43chekb,61.0,s993
1577,phi_ege_max_w1_090918_22knn,92.0,s994
1578,rus_ege_max_w1_040918_2knn,91.0,s994
1579,mat_ege_max_w1_030918_8knn,74.0,s994
1580,lit_ege_int_ctp_mini_on_120219_1web,73.0,s995
1581,mat_ege_max_w1_060918_32vpspb,56.0,s996
1582,phi_int_on_w2_060219_1kumsk,53.0,s997
1583,rus_ege_int_w2_100219_18krsn,60.0,s998
1584,mat_ege_max_on_w1_040918_4kum,82.0,s999
1585,che_ege_max_on+class_w2_220918_1tula,56.0,s1000
1586,rus_ege_max_on+class_w2_230918_1tula,82.0,s1000
1587,che_ege_max_w1_070918_107vpspb,92.0,s1001
1588,soc_ege_max_w1_040918_101blm,62.0,s1002
1589,rus_ege_max_w1_030918_120blm,66.0,s1002
1590,rus_ege_max_w1_030918_117kum,85.0,s1003
1591,soc_ege_max_w1_040918_77kum,80.0,s1003
1592,mat_ege_max_w2_031018_14mgnsk,56.0,s1004
1593,soc_ege_max_w2_051018_surgt,69.0,s1005
1594,inf_ege_max_on_w1_040918_20vpspb,84.0,s1006
1595,rus_ege_max_w1_060918_3knn,91.0,s1007
1596,mat_ege_max_w1_080918_13knn,74.0,s1007
1597,mat_ege_max_w2_041018_14knn,68.0,s1008
1598,soc_ege_max_w2_071018_31knn,70.0,s1008
1599,rus_ege_sint_lvl2_SRED_240319_7knn,94.0,s1008
1600,rus_ege_max_w2_061018_3irk,94.0,s1009
1601,eng_ege_int_ctp_mini_on_150219_2web,84.0,s1010
1602,lit_ege_on_personal_int_050219_9m,63.0,s1010
1603,soc_ege_max_w1_070918_32chekb,71.0,s1011
1604,soc_ege_max_w1_050918_92kum,69.0,s1012
1605,soc_ege_max_w2_011018_4irk,76.0,s1013
1606,mat_ege_max_w1_080918_61blm,78.0,s1014
1607,soc_ege_max_w1_080918_100blm,81.0,s1014
1608,soc_ege_max_w1_040918_63vpspb,57.0,s1015
1609,soc_ege_max_w2_011018_4irk,59.0,s1016
1610,lit_ege_opt_w1_031118_1irk,72.0,s1016
1611,mat_ege_max_w1_070918_11chekb,45.0,s1017
1612,soc_ege_max_w2_011018_37chekb,54.0,s1017
1613,rus_ege_max_w2_021018_85vpspb,67.0,s1018
1614,soc_ege_max_w1_080918_33chekb,84.0,s1019
1615,mat_ege_max_w1_080918_6chekb,72.0,s1019
1616,bio_ege_max_w1_090918_15kum,42.0,s1020
1617,mat_ege_sint_lvl2_SRED_290319_7mgnsk,39.0,s1021
1618,phi_int_on_w2_060219_1kumsk,90.0,s1022
1619,his_ege_max_on_w1_050918_16kum,0.0,s1023
1620,phi_ege_max_w2_021018_46chekb,58.0,s1024
1621,soc_ege_sint_lvl3_SLAB_310319_14oktmsk,61.0,s1025
1622,soc_ege_max_w1_030918_58vpspb,70.0,s1026
1623,mat_ege_max_w1_040918_30vpspb,84.0,s1026
1624,eng_ege_max_w2_061018_6vpspb,48.0,s1027
1625,soc_ege_max_w2_071018_40chekb,89.0,s1028
1626,his_ege_max_w2_071018_52chekb,72.0,s1028
1627,rus_ege_max_w1_030918_1knn,64.0,s1029
1628,phi_ege_max_w1_030918_19knn,51.0,s1029
1629,mat_ege_max_w1_080918_13knn,50.0,s1029
1630,lit_opt_on_w2_261118_kumsk,0.0,s1030
1631,rus_opt_w2_021218_10vpspb,85.0,s1031
1632,mat_ege_90+_max_w2_041018_44vpspb,92.0,s1031
1633,soc_ege_int_ctp_mini_on_100219_2web,82.0,s1032
1634,che_opt_on_w2_281118_chekb,46.0,s1033
1635,soc_ege_max_w1_060918_31chekb,82.0,s1034
1636,rus_ege_opt_w2_291118_1krsn,73.0,s1035
1637,mat_ege_opt_w2_301118_1krsn,18.0,s1035
1638,his_ege_max_w2_031018_54chekb,86.0,s1036
1639,phi_ege_max_on_w1_060918_9vpspb,0.0,s1037
1640,soc_ege_max_w1_070918_22mgnsk,52.0,s1038
1641,mat_ege_int_baza_120219_1mgnsk,23.0,s1038
1642,mat_ege_max_w1_060918_10mgnsk,23.0,s1038
1643,mat_ege_int_w2_090219_4knn,68.0,s1039
1644,che_ege_max_w1_050918_65chekb,47.0,s1040
1645,his_ege_max_w2_011018_47mgnsk,57.0,s1041
1646,mat_ege_int_baza_120219_1mgnsk,5.0,s1041
1647,rus_ege_max_w2_031018_78mgnsk,73.0,s1041
1648,rus_ege_max_w1_061018_1volgd,82.0,s1042
1649,mat_ege_max_w2_041018_3volgd,45.0,s1042
1650,lit_ege_max_w2_051018_volgd,66.0,s1042
1651,mat_ege_max_on_w1_040918_4kum,59.0,s1043
1652,rus_ege_max_w1_070918_22chekb,67.0,s1044
1653,rus_ege_max_w2_021018_26chekb,96.0,s1045
1654,mat_ege_max_w2_041018_13chekb,86.0,s1045
1655,rus_ege_max_w1_050918_77mgnsk,41.0,s1046
1656,lit_ege_max_w2_051018_volgd,61.0,s1047
1657,lit_ege_on_personal_int_140119_3m,80.0,s1048
1658,his_ege_max_w2_011018_47mgnsk,44.0,s1049
1659,mat_ege_max_w1_080918_61blm,20.0,s1050
1660,rus_ege_max_w2_021018_114aim,89.0,s1051
1661,rus_ege_int_w1_140119_2chekb,89.0,s1052
1662,mat_ege_max_w2_051018_18chekb,45.0,s1053
1663,phi_ege_max_w2_021018_46chekb,46.0,s1053
1664,inf_ege_max_w1_040918_73chekb,74.0,s1054
1665,rus_ege_max_w1_050918_24chekb,69.0,s1054
1666,his_int_on_w2_080219_1kumsk,72.0,s1055
1667,soc_ege_max_on_w1_040918_10kum,53.0,s1056
1668,mat_ege_max_w1_050918_3chekb,56.0,s1057
1669,rus_ege_max_w2_021018_26chekb,80.0,s1057
1670,soc_ege_max_w1_070918_32chekb,67.0,s1057
1671,soc_ege_max_w1_030918_98blm,92.0,s1058
1672,rus_ege_opt_w2_011218_2krsn,80.0,s1059
1673,mat_ege_max_w2_051018_1krsn,45.0,s1059
1674,soc_opt_w2_291118_5chekb,54.0,s1060
1675,rus_ege_max_w1_060918_3knn,85.0,s1061
1676,mat_ege_max_w1_090918_11knn,72.0,s1061
1677,his_ege_max_w1_090918_46mgnsk,72.0,s1062
1678,rus_ege_max_w1_090918_3mgnsk,96.0,s1062
1679,eng_ege_max_w1_070918_49mgnsk,92.0,s1062
1680,mat_ege_opt_w2_011218_3krsn,39.0,s1063
1681,mat_ege_max_w1_070918_13mgnsk,23.0,s1064
1682,lit_opt_on_w2_261118_kumsk,73.0,s1065
1683,mat_ege_max_w1_070918_13mgnsk,50.0,s1066
1684,che_ege_max_w2_071018_45knn,78.0,s1067
1685,rus_ege_max_w2_240918_1irk,89.0,s1068
1686,soc_ege_max_w2_041018_3irk,63.0,s1068
1687,mat_ege_max_on_w1_030918_3kum,72.0,s1069
1688,rus_ege_sint_SRED_on_170319_1web,94.0,s1069
1689,rus_ege_max_w2_011018_88vpspb,78.0,s1070
1690,his_ege_max_w1_080918_20vpspb,57.0,s1070
1691,eng_ege_max_w1_090918_3vpspb,47.0,s1070
1692,soc_ege_max_w1_030918_29chekb,68.0,s1071
1693,soc_ege_max_w2_071018_2irk,76.0,s1072
1694,che_ege_max_w2_061018_109vpspb,65.0,s1073
1695,mat_ege_max_w2_041018_43vpspb,56.0,s1073
1696,eng_ege_max_w2_031018_2krsn,93.0,s1074
1697,soc_ege_max_w2_061018_78kum,65.0,s1075
1698,lit_ege_max_w1_040918_26vpspb,70.0,s1076
1699,eng_ege_max_w1_050918_2vpspb,34.0,s1076
1700,rus_ege_max_on_w2_021018_30Knn,82.0,s1077
1701,mat_ege_max_on_w2_031018_35Knn,70.0,s1077
1702,mat_ege_max_w1_040918_8mgnsk,56.0,s1078
1703,rus_ege_max_w2_280918_2irk,91.0,s1079
1704,soc_ege_max_w2_071018_1irk,72.0,s1079
1705,mat_ege_int_w1_190119_1chekb,56.0,s1080
1706,eng_ege_max_w2_071018_12aim,76.0,s1081
1707,rus_ege_max_w1_090918_3mgnsk,60.0,s1082
1708,soc_ege_max_w1_070918_22mgnsk,60.0,s1082
1709,mat_ege_max_w1_050918_12mgnsk,70.0,s1082
1710,soc_ege_max_w2_041018_krsn,66.0,s1083
1711,his_ege_max_w1_090918_30kum,84.0,s1084
1712,soc_ege_max_w1_080918_100blm,76.0,s1084
1713,soc_ege_max_w1_080918_33chekb,53.0,s1085
1714,mat_ege_max_w1_040918_12knn,45.0,s1086
1715,soc_ege_max_w2_071018_31knn,66.0,s1086
1716,rus_ege_max_w2_021018_107kum,76.0,s1087
1717,mat_ege_max_w1_040918_44blm,70.0,s1087
1718,soc_opt_w1_031118_4chekb,48.0,s1088
